title,combined
Redirected,gambl casino boss vinniejones leenicholasharris scotwilliams emilisvelyvis action comedy crime
Don't Blink,menasuvari brianaustingreen joannekelly travisoates horror
Raiders from Beneath the Sea,scubadiv crime underwat merryanders kenscott russbender maurydexter drama
Big Eyes,wifehusbandrelationship artist courtcas amyadams christophwaltz krystenritter timburton drama
I due Pompieri,francofranchi ciccioingrassia monicapardo brunocorbucci comedy
Bolidi sull'asfalto a tutta birra!,sport giacomoagostini sergioleonardi danielagiordano brunocorbucci romance comedy animation
The Cop in Blue Jeans,pantyhos poliziotteschi tomásmilián johnp.dulaney jacklacayenne brunocorbucci drama action thriller
Squadra antifurto,tomásmilián lillicarati bombolo brunocorbucci comedy action
Il figlio dello sceicco,tomásmilián bosvenson mimmopoli brunocorbucci comedy action
Squadra antitruffa,tomásmilián bombolo davidhemmings brunocorbucci
Little Italy,itali milan nicogiraldi tomásmilián enzocannavale bombolo brunocorbucci comedy crime
Squadra antigangsters,tomásmilián enzocannavale ashaputhli brunocorbucci
Agenzia Riccardo Finzi... praticamente detective,renatopozzetto enzocannavale simonamariani 
Assassination on the Tiber,tomásmilián marinaripadimeana bombolo brunocorbucci comedy crime action
Uno contro l'altro praticamente amici,renatopozzetto tomásmilián annamariarizzoli brunocorbucci
Delitto a Porta Romana,tomásmilián bombolo olimpiadinardo brunocorbucci comedy
Delitto al ristorante cinese,tomásmilián bombolo enzocannavale brunocorbucci crime comedy thriller
Delitto sull'autostrada,tomásmilián violavalentino bombolo brunocorbucci comedy crime
Thieves and Robbers,camp missionofmurd polic budspencer tomásmilián marclawrence brunocorbucci action comedy crime
Delitto al Blue Gay,tomásmilián bombolo olimpiadinardo brunocorbucci
Scooby-Doo! and the Witch's Ghost,crimesolv scottinnes marykaybergman frankwelker jimstenstrum animation comedy
"Men, Women & Children",highschool teenag overprotectivepar rosemariedewitt jennifergarner judygreer jasonreitman drama comedy
Loins of Punjab Presents,indianlead bollywood shabanaazmi ajaynaidu ayeshadharker  comedy
Narcissus,danc short jean-louismorin sylviekinal sylvainlafortune normanmclaren
Ascension,miniseri triciahelfer gilbellows brianvanholt mairzeealmas drama sciencefiction
Flap,rodeo upris whiskey anthonyquinn claudeakins tonybill carolreed comedy drama
Kingsman: The Secret Service,spi greatbritain secretorgan colinfirth samuell.jackson markstrong matthewvaughn crime comedy action
Holidaze,amnesia thanksgiv romanticcomedi jenniegarth cameronmathison shadiaali jerryciccoritti romance family drama
Madonna's Pig,wimopbrouck frankfocketijn kevinjanssens frankvanpassel fantasy romance
Bill Burr: You People Are All The Same,stand-upcomedi billburr jaykaras comedy
Night at the Museum: Secret of the Tomb,nightwatchman museum naturalhistori benstiller ramimalek rebelwilson shawnlevy adventure comedy fantasy
The Nativity,biographi madeleinestowe johnshea leomckern bernardl.kowalski drama history family
Teenage,benwhishaw jenamalone juliahummer mattwolf documentary
Lunch Break,womandirector sharonlockhart
Paradox,kevinsorbo stephsong christopherjudge brentonspencer sciencefiction thriller
Special ID,donnieyen jingtian collinchou clarencefok drama action crime
Katt Williams: The Pimp Chronicles Pt. 1,comedian stand-upcomedi livecomedi kattwilliams anthonyanderson snoopdogg garybinkow comedy
Summer in February,biographi dominiccooper emilybrowning danstevens christophermenaul drama romance
Sorority Wars,colleg rivalri soror lucyhale courtneythorne-smith amandaschull jameshayman comedy drama family
Fear Island,aaronashmore haylieduff lucyhale michaelstorey horror thriller mystery
Walking on Sunshine,womandirector annabelscholey hannaharterton giulioberruti maxgiwa comedy romance
Wheelmen,lisaarturo jamesavery elyabaskin dirkhagen action comedy
Big Brown Eyes,jeweltheft manicurist policereport carygrant joanbennett walterpidgeon raoulwalsh comedy mystery
How Hitler Lost the War,robertdenny documentary
King Ordinary,ollidittrich veronicaferres katrinbauerfeind daviddietl tvmovie comedy
Food Stamped,shirapotash yoavpotash yoavpotash documentary
Goodbye to All That,paulschneider annacamp michaelchernus angusmaclachlan comedy
The Punisher: Dirty Laundry,prostitut laundromat marvelcom thomasjane ronperlman sammirotibi philjoanou action crime thriller
Behaving Badly,natwolff selenagomez mary-louiseparker timgarrick comedy
A Madea Christmas,christma tylerperry annamariahorsford tikasumpter tylerperry comedy drama
Nicholas on Holiday,valérielemercier kadmerad danielprévost laurenttirard family comedy
The Walking Stick,poliovictim davidhemmings samanthaeggar emlynwilliams erictill crime drama romance
The Nutcracker Prince,holiday music kiefersutherland meganfollows mikemacdonald paulschibli animation family
Bullets Don't Argue,spaghettiwestern rodcameron horstfrank mimmopalmara mariocaiano western
Days and Nights,katieholmes benwhishaw allisonjanney christiancamargo drama
Don't Go In the Woods,slasher violenc camper jackmcclelland marygailartz angiebrown jamesbryan horror
Pigs,brotherhood jeffersonbrown darrynlucio christopherelliott karldipelino comedy
Professor Beware,haroldlloyd phylliswelch raymondwalburn elliottnugent comedy
"Listen, Darling",marriageofconveni music roadtrip judygarland freddiebartholomew maryastor edwinl.marin comedy drama family
21-87,collag arthurlipsett documentary
A Viking Saga: The Darkest Day,monk vike elenrhys marklewisjones garymavers chriscrow adventure action thriller
Thérèse,franc dysfunctionalmarriag pregnanc audreytautou gilleslellouche anaïsdemoustier claudemiller drama
With Love... from the Age of Reason,clarinet letter children sophiemarceau jonathanzaccaï martoncsokas yannsamuell comedy
Yonkers Joe,independentfilm chazzpalminteri christinelahti tomguiry robertcelestino drama
A Thousand Times Good Night,war photojournalist juliettebinoche nikolajcoster-waldau mariadoylekennedy erikpoppe drama
The Love Machine,basedonnovel jobpromot tvnewsanchor johnphilliplaw dyancannon robertryan jackhaleyjr. drama
The Lost Prince,england epilepsi princ danielwilliams matthewjamesthomas brockeveritt-elwick stephenpoliakoff drama
Total Western,samuellebihan jean-françoisstévenin jean-pierrekalfon ericrochant action foreign thriller
Madea's Big Happy Family,motherrol bigfamili familyclan tylerperry laurenlondon shannonkane tylerperry comedy drama
Bugs Bunny's Looney Christmas Tales,holiday cartoon kid melblanc juneforay chuckjones animation
12 Dates of Christmas,amysmart mark-paulgosselaar benjaminayres jameshayman tvmovie fantasy comedy
The Kennedys,gregkinnear katieholmes barrypepper joncassar drama
Teenage Dirtbag,independentfilm scottmichaelfoster noahegesh chrisellis reginacrosby drama
12 Wishes of Christmas,elisadonovan gabriellecarteris fredwillard petersullivan comedy fantasy
An American Hippie in Israel,grindhous psychedel ashertzarfati shmuelwolf lilliavidan amossefer action comedy sciencefiction
Carry On Teacher,musicteach romanc school kennethconnor charleshawtrey lesliephillips geraldthomas comedy
Christina's House,nuditi hous murder brendanfehr bradrowe allisonlange gavinwilding drama mystery thriller
The Arrival of Joachim Stiller,belgium hugometsers coxhabbema wardderavet harrykümel mystery
Dangerously Close,johnstockwell johnedwardpeck careylowell albertpyun
Daughters Courageous,sistersisterrelationship familyrelationship wed johngarfield clauderains priscillalane michaelcurtiz romance drama
Deceit,blond alien samanthaphillips norbertweisser scottpaulin albertpyun sciencefiction
Destination Gobi,gobidesert mongol richardwidmark dontaylor maxshowalter robertwise adventure war
Down Twisted,careylowell charlesrocket trudydochterman albertpyun action crime drama
Encore,glynisjohns nigelpatrick rolandculver haroldfrench comedy drama
Escape from Crime,bmovi photojournalist ex-con richardtravis juliebishop jackiegleason d.rosslederman crime
Escape in the Fog,sanfrancisco bmovi filmnoir ottokruger ninafoch williamwright buddboetticher mystery thriller
Esther and the King,richardegan sergiofantoni joancollins raoulwalsh drama
Evasive Action,suspens dorianharewood raywise royscheider jerryp.jacobs action thriller
Even Angels Eat Beans,chicago fistfight gangster giulianogemma budspencer robertmiddleton enzobarboni crime action comedy
Everybody Has a Plan,womandirector viggomortensen soledadvillamil danielfanego anapiterbarg drama
Everyday Sunshine:  The Story of Fishbone, fishbon norwoodfisher angelomoore ice-t chrismetzler documentary music
Ex-Lady,marriag freespirit bettedavis generaymond frankmchugh robertflorey comedy drama
Exit to Hell,murder slasher theft kanehodder tiffanyshepis renariffel robertconway horror action thriller
Exorcismus,exorc possess satan dougbradley stephenbillington sophievavasseur manuelcarballo thriller horror
Eye of the Hurricane,melanielynskey briandoyle-murray colinford jessewolf
Eyeball,giallo slasher eyebal martinebrochard johnrichardson inespellegrini umbertolenzi horror mystery thriller
Face of Fire,smalltown burnedal fear jameswhitmore royaldano bettyeackerman albertband drama
Face The Music,mollyringwald patrickdempsey lysetteanthony carolwiseman
Falling Awake,andrewcisneros jennadewan nestorserrano agustin drama thriller romance
Nick Offerman: American Ham,nickofferman marcevanjackson jordanvogt-roberts comedy documentary
Lemon Tree Passage,vacat urbanlegend ghost jessicatovey nicholasgunn pippablack davidcampbell horror mystery thriller
Stormheart,dog jannevirtanen lauramalmivaara ronjaarvilommi kaisarastimo drama family
Seventh Son,magic chosenon darkfantasi jeffbridges juliannemoore benbarnes sergeibodrov adventure fantasy
Gloss,yuliyavysotskaya aleksandrdomogarov alekseyserebryakov andreikonchalovsky comedy drama
A Nest of Gentry,pari infidel irinakupchenko leonidkulagin beatatyszkiewicz andreikonchalovsky romance
The Story of Asya Klyachina,iyasavvina lyubovsokolova aleksandrsirin andreikonchalovsky drama romance
Out of the Ashes,holocaust histori christinelahti brucedavison jonathancake josephsargent drama
The Prophecy: Forsaken,angel nuditi anti-christ kariwuhrer jasonscottlee johnlight joelsoisson horror thriller
National Gallery,frederickwiseman documentary
The 7th Floor,kidnap children disappear ricardodarín belénrueda abeldolzdoval patxiamézcua thriller
"Rakkaudella, Maire",eevalitmanen veikkoaaltonen
Heatstroke,womandirector stephendorff svetlanametkina maisiewilliams evelynpurcell thriller
The Wait,independentfilm death denial jenamalone chloësevigny lukegrimes m.blash drama
Munger Road,escapedconvict ghosthunt festiv randallbatinkoff trevormorgan brookepeoples nicholassmith thriller
Alyce Kills,jadedornfeld tamarafeldman jamesduval jaylee horror thriller
Little Witches,femalenud witch nun mimirose sheerirappaport jenniferrubin janesimpson drama horror
The Haunting of Helena,harrietmacmasters-green sabrinajolieperez jarrethj.merz christianbisceglia horror thriller
Alice in Murderland,maleriegrady marlenemc'cohen kellykula dennisdevine horror thriller
Elfie Hopkins,raywinstone kimberleynixon jaimewinstone ryanandrews horror thriller
The Evictors,vicmorrow michaelparks jessicaharper charlesb.pierce drama horror thriller
On the Ice,grief alaska basedonshortfilm josiahpatkotak  frankqutuqirelan teddykylesmith andrewokpeahamaclean thriller drama
The Case of the Scorpion's Tail,malenud poison corrupt georgehilton anitastrindberg albertodemendoza sergiomartino horror mystery thriller
Let It Snow,christma candacecameronbure jessehutch alanthicke harveyfrost tvmovie drama romance
Chasing Christmas,tomarnold andrearoth lesliejordan ronoliver comedy family
Piranhaconda,watermonst killersnak michaelmadsen rachelhunter ribhillis jimwynorski horror sciencefiction
Corner Gas: The Movie,brentbutt gabriellemiller fredewanuick davidstorey family comedy
Charleston,mafiaboss sequel italianamerican giulianogemma rickybruch laurabecherelli enzobarboni comedy crime
Woman of Antwerp,prostitut italian pimp bernardblier simonesignoret marcellopagliero yvesallégret drama
Love Without Pity,hippolytegirardot mireilleperrier yvanattal ericrochant romance comedy
Exit Smiling,femmefatal backstag unrequitedlov beatricelillie jackpickford dorislloyd samtaylor comedy
Fearless Fagan,lion corpor armylif carletoncarpenter janetleigh keenanwynn stanleydonen comedy
Fiesta,music matador estherwilliams akimtamiroff ricardomontalban richardthorpe drama music romance
Fight for Your Life,reveng independentfilm violenc robertjudd catherinepeppers lelasmall roberta.endelson thriller crime drama
Fighting Mad,corrupt mine vigilant peterfonda ginofranco harrynorthup jonathandemme drama action
Family Way,babi relationshipproblem familysecret caricevanhouten thijsrömer benjabruijning joramlürsen comedy romance
Miss Minoes,basedonnovel cat dutch caricevanhouten theomaassen jackwouterse vincentbal comedy family fantasy
Crazy for Christmas,womandirector howardhesseman jasonspevack andrearoth eleanorlindo drama romance
Arizona Colt Returns,marshal western spaghettiwestern anthonysteffen marcellamichelangeli aldosambrell sergiomartino action western
Giovannona Long-Thigh,itali prostitut sex pippofranco edwigefenech gigiballista sergiomartino comedy
The Violent Professionals,assassin violentdeath lucmerenda richardconte silvanotranquilli sergiomartino thriller crime
